Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,opera-mini.net,,,chimie.uottawa.ca,0,5,14,300
1,,,,uottawa.ca,0,5,9,136
1,nokia.net,,,uottawa.ca,0,5,9,42
1,unknown.unknown,,,uottawa.ca.libguides.com,0,5,19,"1,517"
1,nokia.net,,,writingcentre.uottawa.ca,0,5,9,618
1,unknown.unknown,,Ontario,catalogue.bib.uottawa.ca,0,5,9,"1,971"
1,uottawa.ca,,Ontario,search,0,5,9,370
1,algonquincollege.com,,Ontario,uottawa.ca,0,5,9,84
1,stsn.com,,Ontario,uottawa.ca,0,5,9,"1,835"
1,union-vie.ca,,Ontario,uottawa.ca,0,5,14,538
1,unknown.unknown,,Ontario,web33.uottawa.ca,0,5,28,"6,593"
1,,,,(direct),5,5,5,0
1,unknown.unknown,,,google,5,5,5,0
1,unknown.unknown,,,socialsciences.uottawa.ca,5,5,5,0
1,bell.ca,,Ontario,hsnsudbury.ca,5,5,5,0
1,bell.ca,,Ontario,med.uottawa.ca,5,5,5,0
1,uottawa.ca,,Ontario,registrar.uottawa.ca,5,5,5,0
1,blackberry.net,,Ontario,uottawa.ca,5,5,5,0
1,primus.ca,,Ontario,uottawa.ca,5,5,5,0
1,videotron.ca,,Quebec,uottawa.ca,5,5,5,0
1,masterinter.net,,South Moravian Region,(direct),5,5,5,0
1,unknown.unknown,,Ontario,google,5,9,28,103
1,rogers.com,,Ontario,uottawa.ca,5,9,28,365
1,rogers.com,,Ontario,(direct),9,9,9,0
1,unknown.unknown,,,(direct),9,14,23,646
1,opera-mini.net,,,google,9,14,19,192
1,uottawa.ca,,Ontario,google,9,14,33,"1,414"
1,opera-mini.net,,,uottawa.ca,9,19,42,"1,264"
1,unknown.unknown,,,uottawa.ca,9,23,94,"7,965"
1,bell.ca,,Ontario,uottawa.ca,9,23,42,365
1,uottawa.ca,,Ontario,uottawa.ca,14,14,14,0
1,unknown.unknown,,Ontario,uottawa.ca,19,19,19,0
1,opera-mini.net,,,writingcentre.uottawa.ca,19,33,66,"8,110"
1,yahoo.com,,Maryland,(direct),23,23,23,0
1,rogers.com,,Ontario,google,23,23,23,0
1,unknown.unknown,,,writingcentre.uottawa.ca,33,42,56,"1,985"
1,opera-mini.net,,,(direct),37,37,37,0
1,yahoo.com,,,(direct),61,61,61,0
1,codetel.net.do,Android,,google,0,5,9,791
1,unknown.unknown,Android,,google,0,5,19,567
1,wind.ca,Android,British Columbia,google,0,5,14,220
1,tedata.net,Android,Cairo Governorate,m.yahoo.com,0,5,14,"1,367"
1,ztomy.com,Android,Colorado,uottawa.ca,0,5,14,173
1,unknown.unknown,Android,England,suia-p.ms1.mcore.com,0,5,9,84
1,unknown.unknown,Android,Grand Casablanca,google,0,5,9,131
1,tmodns.net,Android,Illinois,google,0,5,9,122
1,qwest.net,Android,Minnesota,arts.uottawa.ca,0,5,9,56
1,cia.com,Android,Ontario,(direct),0,5,9,150
1,primus.ca,Android,Ontario,(direct),0,5,14,"1,793"
1,anikast.net,Android,Ontario,google,0,5,19,187
1,distributel.net,Android,Ontario,google,0,5,23,103
1,teksavvy.com,Android,Ontario,google,0,5,23,220
1,uottawa.ca,Android,Ontario,search,0,5,19,"1,292"
1,allstream.net,Android,Ontario,uottawa.ca,0,5,14,585
1,distributel.net,Android,Ontario,uottawa.ca,0,5,19,201
1,teksavvy.com,Android,Ontario,uottawa.ca,0,5,19,"6,822"
1,union-vie.ca,Android,Ontario,uottawa.ca.libguides.com,0,5,9,145
1,rogers.com,Android,Ontario,virtualcampus.uottawa.ca,0,5,23,473
1,stsn.com,Android,Ontario,web33.uottawa.ca,0,5,14,42
1,distributel.net,Android,Quebec,(direct),0,5,19,318
1,distributel.net,Android,Quebec,google,0,5,23,178
1,unknown.unknown,Android,Quebec,web33.uottawa.ca,0,5,52,"2,013"
1,windstream.net,Android,Texas,(direct),0,5,9,243
1,uottawa.ca,Android,Ontario,web33.uottawa.ca,0,9,52,885
1,videotron.ca,Android,Quebec,uottawa.ca,0,9,28,"9,041"
1,,Android,,(direct),5,5,5,0
1,unknown.unknown,Android,,(direct),5,5,5,0
1,unknown.unknown,Android,,sass.uottawa.ca,5,5,5,0
1,telus.net,Android,British Columbia,(direct),5,5,5,0
1,shawcable.net,Android,British Columbia,google,5,5,5,0
1,rr.com,Android,California,(direct),5,5,5,0
1,comcast.net,Android,Delaware,(direct),5,5,5,0
1,tmodns.net,Android,Illinois,(direct),5,5,5,0
1,carleton.ca,Android,Ontario,(direct),5,5,5,0
1,cgocable.net,Android,Ontario,(direct),5,5,5,0
1,telus.com,Android,Ontario,(direct),5,5,5,0
1,unknown.unknown,Android,Ontario,alumni.uottawa.ca,5,5,5,0
1,jacobsonandassociates.com,Android,Ontario,ccs.uottawa.ca,5,5,5,0
1,carleton.ca,Android,Ontario,google,5,5,5,0
1,unknown.unknown,Android,Ontario,search,5,5,5,0
1,storm.ca,Android,Ontario,uottawa.ca,5,5,5,0
1,wind.ca,Android,Ontario,uottawa.ca,5,5,5,0
1,bell.ca,Android,Ontario,web33.uottawa.ca,5,5,5,0
1,,Android,Quebec,(direct),5,5,5,0
1,telus.com,Android,Quebec,(direct),5,5,5,0
1,b2b2c.ca,Android,Quebec,google,5,5,5,0
1,videotron.ca,Android,Quebec,search,5,5,5,0
1,unknown.unknown,Android,Quebec,search,5,5,14,75
1,unknown.unknown,Android,Quebec,virtualcampus.uottawa.ca,5,5,5,0
1,virginmedia.com,Android,Scotland,(direct),5,5,5,0
1,static-transtelco.net,Android,Texas,uottawa.ca,5,5,5,0
1,ztomy.com,Android,Texas,writingcentre.uottawa.ca,5,5,5,0
1,union-vie.ca,Android,Ontario,(direct),5,9,23,300
1,telus.com,Android,Ontario,google,5,9,14,721
1,videotron.ca,Android,Quebec,google,5,9,23,239
1,shawcable.net,Android,Alberta,google,5,14,42,403
1,bell.ca,Android,Ontario,(direct),5,28,126,"2,468"
1,bell.ca,Android,Ontario,google,9,9,9,0
1,telus.com,Android,Ontario,uottawa.ca,9,9,9,0
1,,Android,,search,9,14,19,33
1,stsn.com,Android,Ontario,(direct),9,14,19,393
1,stsn.com,Android,Ontario,uottawa.ca,9,14,75,"1,007"
1,telus.com,Android,Quebec,google,9,14,28,482
1,telus.com,Android,Quebec,uottawa.ca,9,14,19,52
1,unknown.unknown,Android,Quebec,uottawa.ca,9,14,37,796
1,teksavvy.com,Android,Ontario,(direct),9,19,37,567
1,rogers.com,Android,Ontario,uottawa.ca,9,37,164,"22,475"
1,unknown.unknown,Android,Ontario,catalogue.bib.uottawa.ca,14,14,14,0
1,videotron.ca,Android,Quebec,(direct),14,14,14,0
1,bell.ca,Android,Ontario,uottawa.ca,14,19,52,688
1,unknown.unknown,Android,Ontario,web33.uottawa.ca,14,19,23,211
1,wind.ca,Android,Ontario,(direct),14,47,122,"2,660"
1,stsn.com,Android,Ontario,google,19,37,61,"1,803"
1,rogers.com,Android,Ontario,google,19,47,131,"4,799"
1,uottawa.ca,Android,Ontario,google,19,56,126,"11,729"
1,union-vie.ca,Android,Ontario,uottawa.ca,23,33,42,290
1,wind.ca,Android,Ontario,google,33,47,66,801
1,uottawa.ca,Android,Ontario,uottawa.ca,33,47,75,"4,668"
1,unknown.unknown,Android,Quebec,(direct),33,56,98,"3,535"
1,rogers.com,Android,Ontario,(direct),33,61,131,"11,973"
1,unknown.unknown,Android,Quebec,google,42,66,136,"1,746"
1,unknown.unknown,Android,Ontario,uottawa.ca,42,89,215,"5,633"
1,unknown.unknown,Android,Ontario,(direct),47,117,286,"8,133"
1,uottawa.ca,Android,Ontario,(direct),52,94,155,"9,112"
1,unknown.unknown,Android,Ontario,google,80,122,183,"1,498"
1,blackberry.net,BlackBerry,,google,0,5,9,"1,508"
